Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	CHRF3
2017	zh-en	jhu-nmt.5151	0.023	0.2200	20.5	27.4	48.6	23.6	44.6	0.50	0.49	
2017	zh-en	Oregon-State-University-S.5173	-0.107	0.2002	18.5	25.0	46.9	21.8	43.5	0.48	0.47	
2017	zh-en	UU-HNMT.5162	-0.276	0.1724	15.9	23.9	44.6	21.2	43.5	0.47	0.45	
2017	zh-en	xmunmt.5160	0.184	0.2795	26.0	33.5	53.8	28.5	48.2	0.55	0.54	
2017	zh-en	PROMT-SMT.5125	-0.209	0.1823	16.5	29.1	47.7	24.0	43.5	0.49	0.48	
2017	zh-en	uedin-nmt.5112	0.208	0.2758	25.7	33.8	53.4	28.9	48.2	0.54	0.53	
2017	zh-en	SogouKnowing-nmt.5171	0.209	0.2797	26.4	35.1	54.2	29.8	48.3	0.55	0.55	
2017	zh-en	ROCMT.5183			20.8	27.9	48.9	24.1	44.8	0.50	0.50	
2017	zh-en	online-F.0	-0.279	0.1306	11.4	23.2	42.6	18.8	39.4	0.44	0.46	
2017	zh-en	online-G.0	-0.305	0.1810	15.5	27.0	45.9	22.0	42.0	0.49	0.50	
2017	ru-en	online-A.0	0.057	0.3288	31.2	34.5	58.1	28.7	50.0	0.59	0.58	
2017	tr-en	afrl-mitll-m2w-nr1.4901	-0.083	0.1870	17.5	26.1	47.3	22.0	43.0	0.47	0.45	
2017	ru-en	NRC.4855	0.081	0.3526	33.9	38.0	60.3	31.3	51.5	0.60	0.60	
2017	ru-en	jhu-pbmt.4978	-0.011	0.3215	31.5	36.3	58.6	30.0	50.4	0.58	0.58	
2017	tr-en	uedin-nmt.4931	0.05	0.2163	20.1	27.9	50.0	23.4	45.2	0.49	0.47	
2017	tr-en	LIUM-NMT.4888	-0.097	0.1866	17.9	26.1	47.4	21.9	43.1	0.47	0.45	
2017	tr-en	online-B.0	0.294	0.2689	25.6	37.0	56.3	30.5	49.4	0.55	0.54	
2017	ru-en	uedin-nmt.4890	0.002	0.3187	30.8	34.6	57.5	28.7	49.7	0.58	0.57	
2017	ru-en	online-B.0	0.271	0.3821	36.9	41.9	63.3	34.8	53.6	0.63	0.63	
2017	tr-en	online-A.0	0.282	0.2477	22.2	33.2	53.4	27.2	47.0	0.53	0.52	
2017	tr-en	afrl-mitll-syscomb.4902	-0.093	0.1928	18.1	26.8	47.9	22.5	43.4	0.47	0.46	
2017	tr-en	JAIST.4859	-0.475	0.1381	12.4	24.8	44.7	19.7	40.4	0.43	0.43	
2017	tr-en	PROMT-SMT.4737	-0.183	0.1602	13.5	28.6	47.7	22.8	42.9	0.47	0.46	
2017	ru-en	online-G.0	0.126	0.3667	34.5	42.2	61.8	34.5	52.9	0.62	0.62	
2017	tr-en	online-G.0	-0.029	0.1915	16.4	30.2	50.6	24.0	43.9	0.49	0.49	
2017	ru-en	online-F.0	-0.288	0.1705	15.9	24.9	46.7	19.6	40.9	0.48	0.50	
2017	tr-en	jhu-pbmt.4972	-0.436	0.1417	12.6	23.0	44.2	18.5	40.4	0.43	0.43	
