Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-ru	online-A.0	-0.004	0.2439	23.0	25.4	45.7	20.8	39.5	0.54	26.4	46.5	0.54	
2018	en-ru	PROMT-Hybrid-OpenNMT.5654	0.066	0.2616	25.5	26.4	46.9	21.9	40.5	0.55	27.3	47.6	0.55	
2018	en-ru	uedin.5737	0.144	0.3100	30.2	29.7	50.8	24.7	42.9	0.58	30.5	51.8	0.58	
2018	en-ru	online-F.0	-0.58	0.0853	8.1	12.8	30.9	10.3	28.3	0.40	13.3	31.0	0.40	
2018	en-ru	PROMT-Rule-based.5429	-0.075	0.1933	18.5	22.1	41.8	17.8	36.2	0.50	22.9	42.6	0.51	
2018	en-zh	Alibaba-ensemble-system-with-reranking.5738	0.185	0.4346	43.5	51.3	69.8	45.5	60.7	0.38	51.5	69.9	0.38	
2018	en-zh	Alibaba-General-System.5743	0.165	0.4319	43.2	47.3	69.4	41.9	61.0	0.37	47.3	69.4	0.38	
2018	en-zh	GTCOM-Primary.5762	0.199	0.4377	43.7	49.8	70.0	44.0	60.8	0.38	50.0	70.2	0.39	
2018	en-zh	online-B.0	0.166	0.4148	41.6	50.1	68.6	43.6	59.5	0.37	50.1	68.6	0.37	
2018	en-zh	Alibaba-General-System.5749	0.173	0.4325	43.2	47.8	69.5	42.2	61.0	0.38	47.8	69.4	0.38	
2018	en-zh	NICT.5538	0.082	0.3963	39.7	45.9	66.9	42.0	59.4	0.34	45.7	66.9	0.34	
2018	en-zh	online-A.0	0.037	0.3060	30.6	44.4	61.1	38.5	54.0	0.27	44.8	61.5	0.28	
2018	en-zh	online-F.0	-0.419	0.1811	18.1	33.5	53.4	30.1	50.6	0.18	34.2	54.3	0.19	
2018	en-zh	online-G.0	-0.435	0.2095	20.9	38.4	57.1	34.0	51.9	0.21	38.9	58.9	0.21	
2018	en-tr	online-B.0	0.277	0.2217	21.5	26.3	45.0	21.1	38.9	0.55	27.0	45.3	0.54	
2018	en-tr	online-A.0	-0.254	0.1630	13.9	18.3	37.1	14.6	32.2	0.49	19.2	38.1	0.47	
2018	en-tr	online-G.0	0.058	0.1883	16.6	22.1	40.1	17.7	35.1	0.52	22.8	41.1	0.50	
2018	et-en	HY-NMT-et-en.5463	0.106	0.2761	26.7	35.0	55.2	28.9	48.4	0.55	35.6	54.9	0.54	
2018	en-tr	uedin.5644	0.222	0.2349	22.7	25.9	45.6	20.7	39.0	0.55	26.5	46.0	0.54	
2018	en-tr	RWTH.5632	-0.06	0.2124	20.2	23.1	42.9	18.4	36.7	0.53	23.7	43.3	0.52	
2018	et-en	neurotolge.ee.5398	-0.117	0.2162	20.6	30.8	49.8	25.7	44.5	0.49	31.4	51.1	0.49	
2018	et-en	CUNI-Kocmi.5618	0.007	0.2444	23.5	31.9	52.1	26.2	45.4	0.52	32.7	53.2	0.53	
2018	et-en	M4t1ss.5692	0.187	0.2976	28.6	37.2	57.0	30.4	48.8	0.56	38.1	57.6	0.57	
2018	et-en	NICT.5664	0.238	0.3245	31.4	39.9	59.1	32.9	50.6	0.58	40.8	59.6	0.58	
2018	et-en	online-A.0	0.063	0.2420	23.0	34.8	53.3	28.3	46.3	0.53	35.4	54.0	0.52	
2018	et-en	online-B.0	0.117	0.2691	26.0	36.3	55.0	29.8	48.0	0.54	37.0	55.4	0.54	
2018	et-en	talp-upc.5421	0.106	0.2549	24.3	32.7	52.8	26.7	45.9	0.53	33.6	53.7	0.53	
2018	en-zh	Tencent-ensemble-system.5760	0.219	0.4316	43.1	49.2	69.8	43.2	60.7	0.38	49.5	69.9	0.38	
2018	et-en	online-G.0	-0.341	0.1821	16.8	29.5	48.3	23.7	42.7	0.48	30.1	49.3	0.49	
2018	en-zh	Unisound.5669	0.206	0.4270	42.6	46.0	69.4	40.9	60.3	0.37	46.2	69.5	0.37	
2018	en-zh	uedin.5735	-0.202	0.3331	33.4	34.3	61.5	33.6	57.6	0.30	33.3	60.4	0.29	
2018	en-zh	UMD.5680	0.094	0.3906	39.0	46.0	67.7	40.5	58.3	0.35	46.5	68.9	0.36	
2018	en-zh	online-Y.0	0.069	0.3396	33.9	43.6	64.2	38.3	56.4	0.30	44.0	64.2	0.30	
2018	et-en	tilde-c-nmt.5715	0.215	0.3117	30.2	38.5	58.4	31.6	49.7	0.57	39.5	59.2	0.58	
2018	et-en	uedin.5562	0.186	0.3119	30.0	37.3	57.1	30.8	49.3	0.57	38.2	57.9	0.57	
2018	et-en	tilde-nc-nmt.5485	0.326	0.3272	31.7	42.0	60.1	34.4	51.1	0.59	43.0	60.9	0.59	
2018	et-en	tilde-c-nmt-comb.5718	0.171	0.3108	30.1	38.8	58.3	31.8	49.8	0.57	39.6	58.9	0.57	
2018	et-en	UnsupTartu.5722	-0.95	0.0110	1.0	8.5	24.9	8.0	27.9	0.29	9.3	26.3	0.30	
2018	fi-en	HY-NMT-fi-en.5569	0.128	0.2473	23.7	35.5	52.5	29.7	47.8	0.51	36.2	52.5	0.51	
2018	fi-en	JUCBNMT.5559	-0.404	0.1356	12.8	19.9	40.7	17.5	40.2	0.42	20.3	40.2	0.40	
2018	fi-en	NICT.5515	0.153	0.2668	25.7	35.7	53.8	30.2	48.7	0.52	36.4	53.7	0.52	
2018	fi-en	CUNI-Kocmi.5619	0.083	0.2328	22.3	33.0	51.1	27.6	46.4	0.50	33.6	51.6	0.50	
2018	fi-en	online-B.0	0.078	0.2297	22.0	33.4	51.1	28.0	46.8	0.50	34.0	50.9	0.49	
2018	fi-en	online-A.0	0.045	0.2173	20.6	31.4	49.7	26.2	45.5	0.49	32.0	49.9	0.49	
2018	fi-en	online-G.0	-0.134	0.1822	16.3	30.6	46.5	25.3	44.1	0.47	31.3	46.6	0.47	
2018	fi-en	talp-upc.5423	0.047	0.2213	21.2	30.7	49.6	26.0	45.6	0.49	31.4	49.9	0.48	
2018	fi-en	uedin.5631	0.103	0.2539	24.4	34.4	52.8	29.0	48.0	0.51	35.2	52.7	0.51	
2018	ru-en	afrl-ruen-syscomb.5440	-0.014	0.3107	30.0	38.6	58.4	32.1	51.1	0.58	39.4	58.9	0.57	
2018	ru-en	Alibaba.5720	0.215	0.3632	35.3	43.0	62.2	35.7	53.3	0.61	44.0	62.9	0.61	
2018	ru-en	JHU.5675	-0.027	0.2917	27.3	33.7	55.2	28.0	48.2	0.55	34.8	56.5	0.55	
2018	ru-en	online-A.0	0.034	0.3073	29.3	38.0	58.0	31.1	50.3	0.57	39.0	58.6	0.57	
2018	ru-en	online-B.0	0.192	0.3350	32.5	41.8	60.4	34.4	51.8	0.59	42.9	61.4	0.60	
2018	ru-en	online-G.0	0.17	0.3462	31.7	41.0	59.6	33.6	51.3	0.59	42.0	60.6	0.59	
2018	tr-en	NICT.5708	-0.055	0.2856	27.5	34.4	55.8	28.7	48.6	0.54	35.3	56.4	0.54	
2018	ru-en	uedin.5739	0.11	0.3416	33.1	39.2	60.2	32.6	51.7	0.59	40.2	60.7	0.59	
2018	tr-en	online-B.0	-0.004	0.2620	25.3	37.8	56.2	31.1	49.4	0.55	38.6	56.2	0.54	
2018	tr-en	Alibaba-MT-tr-en-Ensemble.5745			28.6	35.9	56.9	30.1	49.7	0.56	36.8	57.4	0.55	
2018	tr-en	online-G.0	0.045	0.2738	24.9	34.9	55.2	29.1	48.8	0.55	35.6	55.1	0.53	
2018	ru-en	online-F.0	-0.398	0.1496	13.9	26.2	45.3	20.7	40.8	0.46	27.6	47.7	0.48	
2018	tr-en	uedin.5709	-0.053	0.2868	27.7	35.0	56.4	29.2	48.7	0.55	36.0	57.4	0.55	
2018	tr-en	online-A.0	0.04	0.2718	25.5	37.7	56.3	30.9	49.1	0.55	38.5	56.8	0.54	
2018	zh-en	NICT.5539	0.089	0.2867	27.2	33.9	54.7	29.6	49.9	0.56	34.5	55.1	0.54	
2018	zh-en	Li-Muze.5736	0.091	0.2945	28.2	36.2	56.3	31.2	50.7	0.57	36.8	56.3	0.56	
2018	zh-en	online-B.0	0.111	0.3125	30.0	36.4	57.2	31.1	51.1	0.58	37.1	57.5	0.58	
2018	zh-en	NiuTrans.5740	0.14	0.3077	29.5	36.4	56.6	31.4	50.9	0.57	37.0	57.4	0.56	
2018	zh-en	online-A.0	-0.061	0.2404	22.5	31.2	52.1	26.7	48.1	0.54	31.9	51.8	0.52	
2018	zh-en	online-Y.0	-0.005	0.2643	25.1	30.6	53.4	26.4	48.3	0.55	31.4	53.5	0.54	
2018	zh-en	Tencent-ensemble-system.5742	0.099	0.3150	29.9	37.8	57.4	32.3	51.1	0.58	38.8	58.0	0.57	
2018	zh-en	uedin.5652	-0.017	0.2597	24.8	32.6	53.5	28.9	50.3	0.54	32.9	52.1	0.51	
2018	zh-en	UCAM.5586	0.109	0.2982	28.4	35.7	56.4	30.7	50.6	0.57	36.4	56.4	0.56	
2018	zh-en	online-G.0	-0.327	0.1697	14.8	26.6	46.4	22.4	43.5	0.49	27.9	47.4	0.49	
2018	zh-en	online-F.0	-0.377	0.1198	10.9	21.9	41.7	18.5	41.0	0.45	23.1	41.8	0.45	
2018	zh-en	UMD.5681	0.078	0.2630	25.0	32.9	53.8	28.5	49.2	0.55	33.5	53.4	0.53	
2018	zh-en	Unisound.5668	0.094	0.3005	28.3	36.1	56.6	31.1	51.1	0.57	36.8	56.0	0.56	
2018	zh-en	Unisound.5712	0.108	0.3075	29.0	36.4	56.6	31.5	51.2	0.58	36.9	56.6	0.56	
