	Year	Correlation	Langs	BLEU_m	BLEU	MacroF1	MicroF1	CHRF1	MacroF3	MicroF3	CHRF3
67	2017	pearson	en-de	0.867|0.00	0.891|0.00	0.846|0.00	0.864|0.00	0.872|0.00	0.847|0.00	0.859|0.00	0.887|0.00
68	2017	pearson	en-fi	0.920|0.00	0.918|0.00	0.950|0.00	0.967|0.00	0.976|0.00	0.953|0.00	0.969|0.00	0.984|0.00
69	2017	pearson	en-ru	0.898|0.00	0.902|0.00	0.952|0.00	0.923|0.00	0.931|0.00	0.952|0.00	0.917|0.00	0.956|0.00
70	2017	pearson	en-tr	0.924|0.00	0.886|0.00	0.886|0.00	0.917|0.00	0.985|0.00	0.875|0.00	0.898|0.00	0.985|0.00
71	2017	pearson	en-zh	0.982|0.00	0.980|0.00	0.713|0.02	0.939|0.00	0.974|0.00	0.684|0.03	0.896|0.00	0.971|0.00
72	2017	pearson	fi-en	0.903|0.01	0.893|0.02	0.871|0.02	0.917|0.01	0.963|0.00	0.878|0.02	0.897|0.02	0.938|0.01
73	2017	pearson	lv-en	0.975|0.00	0.949|0.00	0.944|0.00	0.949|0.00	0.973|0.00	0.945|0.00	0.956|0.00	0.933|0.00
74	2017	pearson	ru-en	0.912|0.00	0.902|0.00	0.937|0.00	0.927|0.00	0.929|0.00	0.936|0.00	0.940|0.00	0.952|0.00
75	2017	pearson	tr-en	0.976|0.00	0.942|0.00	0.878|0.00	0.947|0.00	0.975|0.00	0.882|0.00	0.935|0.00	0.918|0.00
76	2017	pearson	zh-en	0.863|0.00	0.868|0.00	0.811|0.00	0.900|0.00	0.833|0.00	0.794|0.00	0.879|0.00	0.819|0.00
77	2017	kendall	cs-en	1.000|0.08	1.000|0.08	0.667|0.33	0.667|0.33	0.913|0.07	0.667|0.33	0.667|0.33	0.913|0.07
78	2017	kendall	de-en	0.564|0.02	0.564|0.02	0.734|0.00	0.661|0.00	0.744|0.00	0.673|0.00	0.722|0.00	0.795|0.00
79	2017	kendall	en-cs	0.758|0.00	0.751|0.00	0.767|0.00	0.758|0.00	0.878|0.00	0.780|0.00	0.789|0.00	0.840|0.00
80	2017	kendall	en-de	0.714|0.00	0.767|0.00	0.562|0.00	0.593|0.00	0.720|0.00	0.574|0.00	0.587|0.00	0.619|0.00
81	2017	kendall	en-fi	0.667|0.00	0.697|0.00	0.769|0.00	0.718|0.00	0.782|0.00	0.791|0.00	0.848|0.00	0.867|0.00
82	2017	kendall	en-ru	0.556|0.04	0.556|0.04	0.778|0.00	0.648|0.02	0.669|0.02	0.761|0.00	0.667|0.01	0.704|0.01
83	2017	kendall	en-tr	0.857|0.00	0.714|0.01	0.571|0.06	0.643|0.03	0.849|0.00	0.618|0.03	0.571|0.06	0.849|0.00
84	2017	kendall	en-zh	0.911|0.00	0.911|0.00	0.600|0.02	0.854|0.00	0.899|0.00	0.644|0.01	0.778|0.00	0.899|0.00
85	2017	kendall	fi-en	0.867|0.02	0.867|0.02	0.733|0.06	0.867|0.02	0.867|0.02	0.733|0.06	0.867|0.02	0.867|0.02
86	2017	kendall	lv-en	0.905|0.00	0.714|0.03	0.905|0.00	0.905|0.00	0.905|0.00	0.905|0.00	0.905|0.00	0.878|0.01
87	2017	kendall	ru-en	0.778|0.00	0.611|0.02	0.611|0.02	0.722|0.01	0.800|0.00	0.611|0.02	0.704|0.01	0.800|0.00
88	2017	kendall	tr-en	0.911|0.00	0.778|0.00	0.674|0.01	0.733|0.00	0.907|0.00	0.674|0.01	0.809|0.00	0.782|0.00
89	2017	kendall	zh-en	0.758|0.00	0.780|0.00	0.736|0.00	0.824|0.00	0.732|0.00	0.685|0.00	0.714|0.00	0.633|0.00
