Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	en-ru	online-A.0	-0.004	0.2439	22.6	24.0	44.6	19.6	38.5	0.54	24.9	45.4	0.54	
2018	en-ru	PROMT-Hybrid-Marian.5605	0.115	0.2836	27.3	25.7	47.9	21.2	40.4	0.56	26.8	49.0	0.56	
2018	en-ru	PROMT-Hybrid-OpenNMT.5654	0.066	0.2616	25.3	25.1	46.1	20.8	39.6	0.55	25.9	46.8	0.55	
2018	en-ru	uedin.5737	0.144	0.3100	29.8	28.7	50.3	23.8	42.4	0.58	29.5	51.3	0.58	
2018	en-ru	online-F.0	-0.58	0.0853	7.8	12.1	30.0	9.7	27.5	0.40	12.6	30.0	0.40	
2018	en-ru	PROMT-Rule-based.5429	-0.075	0.1933	18.1	20.9	40.7	16.9	35.1	0.50	21.6	41.4	0.51	
2018	et-en	HY-NMT-et-en.5463	0.106	0.2761	26.5	32.9	54.4	27.2	47.4	0.55	33.5	54.3	0.54	
2018	et-en	CUNI-Kocmi.5618	0.007	0.2444	23.0	29.2	50.9	24.1	44.2	0.52	29.9	52.1	0.53	
2018	et-en	NICT.5664	0.238	0.3245	30.7	37.3	57.9	30.7	49.5	0.58	38.2	58.5	0.58	
2018	en-tr	online-A.0	-0.254	0.1630	11.2	16.1	33.4	12.7	28.5	0.49	17.2	35.2	0.47	
2018	en-tr	online-B.0	0.277	0.2217	18.5	24.8	41.8	19.8	36.2	0.55	25.3	42.1	0.54	
2018	et-en	online-B.0	0.117	0.2691	25.8	33.7	54.0	27.7	46.8	0.54	34.4	54.6	0.54	
2018	et-en	neurotolge.ee.5398	-0.117	0.2162	20.0	28.7	48.8	23.9	43.2	0.49	29.4	50.4	0.49	
2018	et-en	M4t1ss.5692	0.187	0.2976	28.0	34.5	55.8	28.3	47.6	0.56	35.4	56.5	0.57	
2018	et-en	online-A.0	0.063	0.2420	22.4	32.1	52.1	26.1	45.0	0.53	32.7	52.9	0.52	
2018	en-tr	RWTH.5632	-0.06	0.2124	17.2	22.3	40.1	17.7	34.3	0.53	22.9	40.6	0.52	
2018	en-tr	online-G.0	0.058	0.1883	14.7	20.8	37.4	16.6	32.2	0.52	21.5	39.0	0.50	
2018	en-tr	uedin.5644	0.222	0.2349	19.5	24.9	42.8	19.9	36.6	0.55	25.6	43.1	0.54	
2018	et-en	talp-upc.5421	0.106	0.2549	23.9	30.0	51.7	24.6	44.7	0.53	30.9	52.8	0.53	
2018	et-en	online-G.0	-0.341	0.1821	16.2	27.5	47.4	22.1	41.3	0.48	28.2	48.8	0.49	
2018	et-en	tilde-c-nmt.5715	0.215	0.3117	29.5	35.8	57.2	29.4	48.5	0.57	36.7	58.0	0.58	
2018	et-en	tilde-nc-nmt.5485	0.326	0.3272	30.9	39.1	58.8	32.0	49.9	0.59	40.1	59.6	0.59	
2018	et-en	tilde-c-nmt-comb.5718	0.171	0.3108	29.4	36.2	57.2	29.7	48.6	0.57	37.0	57.8	0.57	
2018	et-en	uedin.5562	0.186	0.3119	29.4	35.2	56.1	29.1	48.2	0.57	36.1	57.0	0.57	
2018	et-en	UnsupTartu.5722	-0.95	0.0110	1.0	8.0	24.8	7.5	27.2	0.29	8.8	26.4	0.30	
2018	fi-en	HY-NMT-fi-en.5569	0.128	0.2473	23.3	33.7	51.7	28.2	46.7	0.51	34.4	51.9	0.51	
2018	fi-en	CUNI-Kocmi.5619	0.083	0.2328	21.6	30.9	50.2	25.9	45.3	0.50	31.6	50.9	0.50	
2018	fi-en	JUCBNMT.5559	-0.404	0.1356	12.2	18.9	39.9	16.6	39.1	0.42	19.3	39.5	0.40	
2018	fi-en	NICT.5515	0.153	0.2668	24.9	33.8	52.8	28.7	47.7	0.52	34.5	52.8	0.52	
2018	fi-en	online-A.0	0.045	0.2173	20.0	29.5	48.8	24.8	44.4	0.49	30.1	49.2	0.49	
2018	fi-en	online-B.0	0.078	0.2297	21.4	31.5	50.2	26.5	45.9	0.50	32.1	50.0	0.49	
2018	fi-en	online-G.0	-0.134	0.1822	15.2	27.7	44.9	23.0	42.8	0.47	28.3	45.0	0.47	
2018	en-zh	online-B.0	0.166	0.4148	41.6	50.1	68.6	43.6	59.5	0.37	50.1	68.6	0.37	
2018	en-zh	GTCOM-Primary.5762	0.199	0.4377	43.7	49.8	70.0	44.0	60.8	0.38	50.0	70.2	0.39	
2018	en-zh	Alibaba-General-System.5749	0.173	0.4325	43.2	47.8	69.5	42.2	61.0	0.38	47.8	69.4	0.38	
2018	en-zh	Alibaba-ensemble-system-with-reranking.5738	0.185	0.4346	43.5	51.3	69.8	45.5	60.7	0.38	51.5	69.9	0.38	
2018	en-zh	NICT.5538	0.082	0.3963	39.7	45.9	66.9	42.0	59.4	0.34	45.7	66.9	0.34	
