				Wiki Neural						Wiki BM25						Europarl BM25							TG's calculations								Constantine's calculations																			
lang	size	bpe.tokens	map	map.gm	p.5	p.10	r.10	rbo	ndcg	map.gm3	p.52	p.105	r.106	rbo7	ndcg8	map.gm2	p.53	p.104	r.105	rbo6	ndcg7	Column1	bleu	chrf2	macrof	microf	macrobleu	microbleu	chrf1	chrf3	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
de	200000	16000	0.4296	0.0031	0.0299	0.0213	0.2128	0.120807126	0.2074	0.3393	0.1686	0.087	0.8702	0.416343267	0.814	0.3489	0.7753	0.7589	0.0866	0.500087461	0.5986		30.5	0.56	31.3	56.7	27.6	51.2	0.573	0.561	31.2	32.3	29.5	30.8	64	65.7	62	64	38.5	39.8	37.4	38.9	25.3	26.3	24.2	25.2	17	17.8	15.8	16.7
de	25000	32000	0.2501	2.00E-04	0.0104	0.0074	0.0744	0.056079759	0.0933	0.0152	0.0899	0.0502	0.5023	0.184912677	0.4473	0.1477	0.6248	0.5862	0.0603	0.318725918	0.4221		18	0.43	13.6	42.4	14	42.5	0.442	0.421	18.5	19	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7
de	50000	32000	0.3519	8.00E-04	0.0172	0.0125	0.1246	0.082014642	0.1404	0.122	0.1373	0.0734	0.734	0.310396478	0.6688	0.2575	0.6966	0.6621	0.0701	0.414380372	0.5252		23.3	0.49	21.3	49.1	19.9	46.4	0.506	0.489	23.9	24.7	22.1	23	57.2	58.5	55.7	57.3	30.5	31.6	30	31.1	18.3	19	17.4	18.2	11.2	11.7	10.3	10.8
de	75000	32000	0.3957	0.0014	0.0248	0.0174	0.174	0.102513233	0.1755	0.2051	0.1524	0.08	0.7996	0.353898041	0.736	0.2928	0.7628	0.7283	0.0777	0.452774795	0.5665		26.4	0.53	25.7	52.6	23.3	48.5	0.538	0.522	27	28	25.3	26.4	60.6	62.2	58.6	60.5	34.3	35.4	33.3	34.6	21.5	22.3	20.3	21.2	13.7	14.3	12.6	13.3
de	100000	32000	0.4124	0.0017	0.0265	0.0182	0.1822	0.107963877	0.184	0.248	0.158	0.0825	0.8252	0.373766436	0.7613	0.3261	0.7793	0.7593	0.0823	0.474833452	0.5808		27.8	0.54	27.8	54	25.1	49.5	0.551	0.535	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
de	125000	32000	0.4216	0.002	0.027	0.019	0.1902	0.110684435	0.1904	0.2946	0.1618	0.0845	0.8448	0.390407859	0.7831	0.3297	0.7836	0.7479	0.0817	0.493845771	0.5887		29.1	0.55	29.6	55.4	26.4	50.4	0.563	0.548	29.8	30.9	28.1	29.2	63.1	64.8	61	63	37.2	38.4	36.1	37.4	24.2	25	22.9	23.8	16.1	16.7	14.7	15.5
de	150000	32000	0.435	0.0021	0.0264	0.0185	0.1848	0.115407009	0.1887	0.3007	0.1623	0.0849	0.8488	0.392279883	0.7876	0.3428	0.8014	0.7637	0.0867	0.502527982	0.6008		29.3	0.55	30.1	55.6	26.8	50.6	0.565	0.551	30	31.1	28.3	29.5	63	64.7	61.1	63.2	37.1	38.4	36.2	37.7	24.1	25	23	24	16	16.8	14.9	15.7
de	175000	32000	0.433	0.0023	0.0287	0.02	0.1998	0.117848052	0.1986	0.3157	0.1644	0.0854	0.8541	0.396965503	0.797	0.3462	0.7808	0.7555	0.0835	0.499963256	0.5995		30.3	0.56	31.2	56.4	27.7	51.1	0.572	0.558	31	32.1	29.3	30.5	63.8	65.5	61.8	63.8	38.3	39.6	37.2	38.7	25.2	26.2	24	25	17	17.7	15.8	16.6
de	200000	32000	0.4436	0.0026	0.0297	0.0206	0.2064	0.122634106	0.2023	0.3437	0.1668	0.0864	0.8639	0.407929055	0.8087	0.3393	0.785	0.7728	0.0852	0.518293375	0.6076		31.3	0.57	32.8	57.5	29	51.8	0.581	0.568	32	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25	26	17.7	18.5	16.6	17.4
																						Pearson wiki neural map.gm3	0.912	0.908	0.907	0.906	0.900	0.899	0.903	0.916	0.913																			
																						Pearson wiki neural rbo	0.942	0.960	0.942	0.948	0.936	0.934	0.952	0.962	0.943																			
																						Pearson wiki neural ndcg8	0.917	0.943	0.916	0.925	0.908	0.906	0.933	0.943	0.918																			
																						Pearson wiki  BM25 map.gm3	0.968	0.972	0.966	0.967	0.961	0.960	0.968	0.975	0.969																			
																						Pearson wiki BM25 rbo	0.917	0.945	0.917	0.928	0.908	0.908	0.936	0.948	0.918																			
																						Pearson wiki BM25 ndcg8	0.899	0.932	0.899	0.911	0.890	0.890	0.923	0.934	0.899																			
																						Pearson Europarl  BM25 map.gm	0.982	0.982	0.984	0.987	0.984	0.985	0.988	0.985	0.982																			
																						Pearson Europarl BM25 rbo	0.989	0.984	0.991	0.992	0.992	0.993	0.992	0.986	0.990																			
																						Pearson Europarl BM25 ndcg	0.983	0.985	0.986	0.990	0.986	0.988	0.992	0.987	0.984																			
																						Kendall Tau Europarl BM25 map.gm																												
																						Kendall Tau Europarl BM25 RBO																												
																						Kendall Tau Europarl BM25 NDCG																												
